location_resolution,state,local_area,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
Local,Texas,"El Paso County, TX",Other,Social distancing,Adaptation and mitigation measures,Non essential business (inclusive); Personal care facilities; Churches/places of worship; Outdoor recreation or space; Childcare facilities (preschool or other daycare),"Non-essential businesses are allowed to be open at 50% capacity, except for (no capacity restrictions): - religious services - local government operations - child-care services - youth camps - outdoor recreational sports programs - public or private schools/higher education institutions - drive-in concerts, movies, etc - personal care services (must implement social distancing between stations)",2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Visitor restrictions,General population (inclusive),"Individuals that are not employees, vendors, or medical personnel shall not visit nursing homes, state supported living centers, assisted living facilities, or long-term care facilities. Nursing homes, state supported living centers, assisted living facilities, and long-term care facilities should follow infection control policies and practices set forth by HHSC, including minimizing the movement of staff between facilities whenever possible",2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Adaptation and mitigation measures,Funeral home/mortuary,"In order for the Medical Examiner’s Office, local hospitals, and mortuary services to respond to the overwhelming strain and high number of deaths related to COVID-19 in El Paso County it is STRONGLY RECOMMENDED AND URGED that, - individuals make funeral arrangements within 15 days - funeral homes limit guest capacity to 10 individuals from the same household.",2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Adaptation and mitigation measures,Outdoor recreation or space,"There is no occupancy limit for outdoor areas, events, or establishments, with the exception of the following outdoor areas, events, or establishments that may operate at no more than 50 percent of the normal operating limits as determined by the owner: - Amusement parks - Water parks - swimming pools - museums and libraries - zoos and similar facilities  All outdoor professional and similar sporting events, including rodeos and equestrian events, shall remain limited to 50% of the normal operating limits as determined by the owner. No spectators may attend sporting events unless they are professional sporting events",2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Isolation,General population (inclusive),"An individual that receives a positive COVID-19 test result but that has not yet been contacted by the City’s Department of Public Health within 24 hours of receiving the laboratory results, are strongly encouraged to isolate, and those from within their household should quarantine, and report to (915) 212-6520 within 24 hours of receiving the positive test result. Healthcare workers and first responders should follow the current Department of Public Health’s Guidelines for Healthcare Workers and First Responders, as published on epstrong.org",2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Curfews,General population (inclusive),"A curfew shall be imposed between the hours of 10:00 PM to 5:00 AM for all social activities.  Curfew restrictions shall end at 5:00 AM on Monday, November 30, 2020.",2020-11-24,2020-11-25,2020-11-30,2020-11-30,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Curfews,Restaurants/bars,"All restaurant dine-in services, to include outdoor service, such as on a patio or similar seating area, shall end at 9PM, but restaurants may continue to operate after 9PM via take out and drive thru only. Restaurants may resume dine-in services, to include outdoor service, beginning at 6AM. All restaurants are strongly encouraged and urged to offer only curbside or take-out services.",2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Public service closures,General population (inclusive),"All County parks, and recreational areas shall close. Hiking, biking, walking and fishing shall be allowed, but all social distancing measures to include the use of face coverings shall be followed and will be enforced. This shall include the closure of County owned golf courses, handball courts, basketball courts, tennis courts, and pools. All tournaments and special events at parks and recreation areas shall be cancelled and prohibited during this period.   It is highly encouraged/recommended that school districts suspend all extracurricular activities",2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Stay at home,General population (inclusive),All individuals within the county are strongly urged to shelter at home and maintain physical distancing. Residents 65 years and older are particularly encouraged to stay at home. Individuals that leave homes shall limit their visit to one member of the household,2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Private sector closures,Indoor recreation/sports facility,All indoor sporting events are suspended unless they are professional and similar events,2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Private sector closures,Non essential business (inclusive),Highly encourages and recommends that all commercial non-essential businesses cease all in-person activities.,2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Private sector closures,Restaurants/bars,"Bars and similar establishments may not operate unless they use drive-thru, pickup, or delivery options (as authorized by TABC)",2020-11-24,2020-11-25,Unspecified,2020-11-26,until rescinded
Local,Texas,"El Paso County, TX",Other,Social distancing,Curfews,Restaurants/bars,"All restaurant dine-in services, to include outdoor service, such as on a patio or similar seating area, shall end at 10PM, but restaurants may continue to operate after 9PM via take out and drive thru only. Restaurants may resume dine-in services, to include outdoor service, beginning at 6AM. All restaurants are strongly encouraged and urged to offer only curbside or take-out services.",2020-12-16,2020-12-16,Unspecified,2020-12-17,until rescinded
Local,Texas,"El Paso County, TX",Relaxing,Social distancing,Adaptation and mitigation measures,Restaurants/bars,Allows dine-in restaurants to operate at 75% of total occupancy except for areas with high hospitalizations,2020-09-21,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso County, TX",Relaxing,Social distancing,Adaptation and mitigation measures,Secondary education; Primary education; Higher education,Declares no occupancy limit for public or private schools and any public or private institutions of higher education.,2020-09-21,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso County, TX",Relaxing,Social distancing,Adaptation and mitigation measures,Retail stores (not including food),Allows in-store retail to operate at 75% of total occupancy except for areas with high hospitalizations,2020-09-21,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso County, TX",Relaxing,Social distancing,Adaptation and mitigation measures,Gym/workout facility/fitness center,Allows gyms and exercise facilities and classes to operate at 75% of total occupancy except for areas with high hospitalizations,2020-09-21,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso County, TX",Relaxing,Social distancing,Adaptation and mitigation measures,Entertainment/concert venues/nightclubs,Declares no occupancy limit for drive-in concerts or movies provided they maintain social distancing and stay in their cars.,2020-09-21,2020-09-21,Unspecified,2020-09-22,
Local,Texas,"El Paso County, TX",Relaxing,Social distancing,Adaptation and mitigation measures,Indoor spaces,Allows museums and libraries to operate at 75% of total occupancy except for areas with high hospitalizations,2020-09-21,2020-09-21,Unspecified,2020-09-22,
